name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
ADAMENKO VIKTORIYA,KAZ,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,105,0,88,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Chen Chen Melissa Esther,PER,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,95,0,96,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Fernández Gutierrez Arantza,MEX,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,94,0,93,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
GARCIA MOLINA Zoe,ARG,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,83,0,85,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Herrera Vega Centeno Sofia Alejandra,PER,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,109,0,100,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Hidalgo Amezquita María Fernanda,MEX,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,97,0,93,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
LEYTON MATTO SILVANA LOURDES,PER,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,97,0,99,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Oates Tegwen,RSA,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,107,0,97,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Sepulveda Elizabeth,PUR,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,97,0,89,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Silva Muykuay,CHI,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0.0,81,0,89,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Trajkoska Sara,MKD,76,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,107,0,97,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
