name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Cornu Manuel,FRA,21,240.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,240,15,0,123,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
MacDougall Jack,GBR,22,224.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,220,16,4.0,60,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
McColl Sean,CAN,23,218.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,6.0,55,212.5,16,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ghisolfi Stefano,ITA,24,216.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,4.0,61,212.5,16,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Collin Nicolas,BEL,25,200.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,137.5,21,63,28,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
PAN YUFEI,CHN,26,175.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,30.0,33,145,21,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Grupper Jesse,USA,27,169.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,7.0,51,162.5,19,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Stranik Martin,CZE,28,162.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,86,162.5,19,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ginés López Alberto,ESP,29,148.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,48,30,100.0,24,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Lovenjak Sudar Zan,SLO,30,144.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,137.5,21,7.0,51,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
