name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Middlehurst Ned,AUS,34,1T4z 3 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,X,X,2,X,3,3,2,X,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
AU Chi-fung,HKG,35,1T3z 2 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,2,2,X,X,X,X,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Yau Ka-chun,HKG,35,1T4z 1 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,X,8,1,1,X,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
HO Cheuk-hei,HKG,36,1T3z 2 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,4,X,1,X,X,2,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Mawem Mickael,FRA,36,1T4z 2 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,7,X,3,X,X,X,1,2,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Mawem Bassa,FRA,37,1T4z 2 15,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,2,X,6,X,X,X,2,X,5,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Vettorata Francesco,ITA,37,1T3z 2 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,3,2,1,X,X,X,3,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Fossali Ludovico,ITA,38,1T4z 3 19,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,X,X,3,3,1,X,6,X,9,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
RIDJAYA ODE RIFALDI,IDN,38,0T3z 0 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,X,2,X,X,X,5,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Gatland Chase,NZL,39,0T2z 0 2,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,X,X,X,X,X,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
