name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Hayes Margo,USA,20,2T3z 7 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,3,4,2,3,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Vest Allison,CAN,20,1T4z 1 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,3,X,4,1,1,X,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Hily Manon,FRA,21,2T2z 4 3,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,2,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Krasovskaia Elena,RUS,21,1T4z 2 16,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,5,2,2,X,2,X,7,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
JIANG Rong,CHN,22,1T3z 3 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,X,3,3,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
SONG YiLing,CHN,22,1T3z 2 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,4,2,2,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kalucka Aleksandra,POL,23,1T3z 4 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,6,4,2,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Okawachi serika,JPN,23,1T3z 2 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,3,X,6,2,2,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Wood Jennifer,GBR,23,1T3z 2 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,7,X,X,2,2,X,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Niu Di,CHN,24,1T2z 3 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,X,3,3,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Koller Anne-Sophie,SUI,25,1T3z 3 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,4,3,3,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Tsyganova Anna,RUS,25,1T2z 4 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,4,3,X,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Doumont Heloïse,BEL,26,1T3z 4 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,5,4,4,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Hayes Tara,GBR,26,0T4z 0 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,3,X,7,X,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Thompson-Smith Molly,GBR,26,0T4z 0 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,2,X,4,X,1,X,6,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Chamiakina Valiantsina,BLR,27,1T2z 1 3,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,1,1,X,2,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kura Nanako,JPN,28,0T3z 0 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,2,X,X,X,1,X,3,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
SJÖDIN LINDA,SWE,28,1T2z 3 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,3,3,X,7,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Kalucka Natalia,POL,29,1T2z 4 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,4,4,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Karnis Bronwen,CAN,29,0T3z 0 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,2,X,X,X,5,X,4,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Evans Beatrix,CAN,30,1T1z 2 2,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Nadya Putri Virgita,IDN,30,1T1z 2 2,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Neame Joanna,GBR,30,1T1z 2 2,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,2,2,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Zakharova Margaryta,UKR,30,0T3z 0 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,1,X,X,X,4,X,8,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Rojas Andrea,ECU,31,0T2z 0 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,X,X,3,X,1,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
Melius Tiffany,AUS,32,0T2z 0 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Women,Qualification,2019-05-03,/api/v1/category_rounds/5477/results,/api/v1/events/1115/result/7,X,X,X,3,X,2,X,X,X,X,2019-05-03_Wujiang_Boulder_Women_Qualification.csv
