name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Miroslaw Karina,POL,16.0,46.04,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Levochkina  Yuliya,RUS,15.0,45.66,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Rudzinska Malgorzata,POL,18.0,49.03,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Miroslaw Katarzyna,POL,17.0,48.24,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Morandi Jessica,,16.0,15.67,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,15.67,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Boyarskikh  Ekaterina,,15.0,15.66,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,15.66,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Prokopiuk-Kawecka Monika,,14.0,14.64,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,14.64,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Ryepko Olena,,13.0,13.96,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,13.96,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Savisko Anastasiya,,12.0,13.59,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,13.59,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Yurina Valentina,,11.0,12.6,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Women,Final,2009-04-25,/api/v1/category_rounds/1130/results,/api/v1/events/562/result/6,,,,,,,,,,,2009-04-25_Trento_Speed_Women_Final.csv,2009-04-25_Trento_Speed_Women_Final.csv,2009/2009-04-25_Trento_Speed_Women_Final.csv,,False,12.6,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
