name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Abdrakhmanov Sergey,RUS,5.0,24.710,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Nigmanov Zufar,,11.0,24.85,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,24.85,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Sinitcyn Sergei,,1.0,18.56,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,21.07,True,19.96,True,19.76,True,18.56,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Pociecha Jakub,,7.0,28.90,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,25.58,False,28.9,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Sinitcyn Sergei,RUS,1.0,22.700,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Styenkovyy Maksym,UKR,3.0,23.620,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Vaitsekhovskii Evgenii,RUS,2.0,23.360,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Vaitsekhovskii Evgenii,,9.0,7.48,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,False,7.48,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
ZHANG Ning,,8.0,9.15,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.21,False,9.15,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Sinitcyn Sergei,,7.0,8.48,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.33,False,8.48,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Hroza Libor,,6.0,8.36,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,7.75,False,8.36,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Styenkovyy Maksym,,5.0,7.4,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.71,False,7.4,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Kokorin Stanislav,,4.0,7.82,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.29,True,7.99,False,7.72,,,False,7.82,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Zhong QiXin,,3.0,7.41,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,7.45,True,7.22,False,8.68,,,True,7.41,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Komondi Csaba,,2.0,9.34,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.52,True,8.36,True,8.08,False,9.34,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Abdrakhmanov Sergey,,1.0,7.67,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,True,8.32,True,7.98,True,7.65,True,7.67,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Ghisolfi Stefano,ITA,21.0,13.92,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Qualification,2009-04-25,/api/v1/category_rounds/1131/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Qualification.csv,2009/2009-04-25_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Juhasz Gyula,HUN,22.0,14.21,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Qualification,2009-04-25,/api/v1/category_rounds/1131/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Qualification.csv,2009/2009-04-25_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Molnar Gergõ,HUN,23.0,15.31,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Qualification,2009-04-25,/api/v1/category_rounds/1131/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Qualification.csv,2009/2009-04-25_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
De Las Salas Leonel,VEN,14.0,9.91,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Qualification,2009-04-25,/api/v1/category_rounds/1131/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Qualification.csv,2009/2009-04-25_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Swirk Lukasz,,10.0,8.24,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,False,8.24,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Osipov Maksym,,11.0,8.82,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,False,8.82,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Komosinski Jedrzej,,12.0,8.83,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,False,8.83,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
De Las Salas Leonel,,13.0,8.85,IFSC Climbing Worldcup (S) - Trento (ITA) 2009,562,2009,Trento,Speed,Men,Final,2009-04-25,/api/v1/category_rounds/1132/results,/api/v1/events/562/result/2,,,,,,,,,,,2009-04-25_Trento_Speed_Men_Final.csv,2009/2009-04-25_Trento_Speed_Men_Final.csv,,False,8.85,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
