name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
HILY Manon,FRA,13,13.75,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,35+,36+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
LUO Zhilu,CHN,14,16.22,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,34,36+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
CLARK Adriene Akiko,USA,15,18.49,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,36+,31,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
SMETANOVA Michaela,CZE,16,19.56,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,34+,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
PEETERMANS Zoe,GBR,17,23.32,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,34+,30+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
TOTKOVA Aleksandra,BUL,18,23.57,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,34,31,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
KIM Chaeyeong,KOR,19,23.72,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,33+,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
ODA Natsumi,JPN,19,23.72,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,33+,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
VAN DER MEER Lynn,NED,19,23.72,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,33+,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
PLASSOUX DJIGA Ina,FRA,22,23.87,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,37+,23+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
POUGET Camille,FRA,22,23.87,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,37+,23+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
FISER Julia,AUT,24,24.04,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,31+,32+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
Apel Anna Maria,GER,25,25.81,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,30+,32,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
KOBETS Anastasiia,UKR,26,26.41,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,33,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
